TIME	r_foot_x	r_foot_y	r_foot_z
4.09	0.0	0.40618086640775164	0.005989850859999208
4.1	0.0	0.40761204674887136	0.007322330470336264
4.11	0.0	0.409185682617492	0.008763798791745455
4.12	0.0	0.4108993475811633	0.010305368692688189
4.13	0.0	0.41275039929272034	0.01193753588210126
4.14	0.0	0.4147359835645908	0.013650237506511276
4.15	0.0	0.4168530387697456	0.015432914190872822
4.16	0.0	0.41909830056250535	0.01727457514062634
4.17	0.0	0.42146830691192555	0.019163865903602348
4.18	0.0	0.4239594034399969	0.021089138373994173
4.19	0.0	0.42656774905643163	0.023038522606803953
4.2	0.0	0.4292893218813454	0.025000000000000036
4.21	0.0	0.4321199254467059	0.026961477393196116
4.22	0.0	0.43505519516698166	0.02891086162600572
4.23	0.0	0.4380906050690168	0.030836134096397717
4.24	0.0	0.44122147477075285	0.03272542485937373
4.25	0.0	0.44444297669803984	0.03456708580912724
4.26	0.0	0.44775014352840514	0.03634976249348863
4.27	0.0	0.4511378758503044	0.038062464117898646
4.28	0.0	0.4546009500260455	0.039694631307311865
4.29	0.0	0.4581340262462573	0.0412362012082546
4.3	0.0	0.46173165676349104	0.04267766952966367
4.31	0.0	0.46538829429225065	0.044010149140000725
4.32	0.0	0.46909830056250545	0.045225424859373725
4.33	0.0	0.47285595501349265	0.04631600410885231
4.34	0.0	0.47665546361440947	0.04727516310470919
4.35	0.0	0.4804909677983871	0.04809698831278214
4.36	0.0	0.4843565534959771	0.04877641290737886
4.37	0.0	0.48824626025421636	0.04930924800994192
4.38	0.0	0.49215409042721553	0.04969220851487844
4.39	0.0	0.4960740184240931	0.049922933343328195
4.4	0.0	0.5000000000000002	0.05
4.41	0.0	0.503925981575907	0.0499229333433282
4.42	0.0	0.5078459095727845	0.04969220851487845
4.43	0.0	0.5117537397457838	0.049309248009941936
4.44	0.0	0.5156434465040233	0.04877641290737882
4.45	0.0	0.5195090322016129	0.04809698831278216
4.46	0.0	0.5233445363855906	0.04727516310470921
4.47	0.0	0.5271440449865075	0.04631600410885233
4.48	0.0	0.530901699437495	0.04522542485937364
4.49	0.0	0.5346117057077495	0.04401014914000075
4.5	0.0	0.5382683432365091	0.042677669529663696
4.51	0.0	0.5418659737537428	0.04123620120825462
4.52	0.0	0.5453990499739546	0.039694631307311906
4.53	0.0	0.5488621241496957	0.03806246411789868
4.54	0.0	0.552249856471595	0.036349762493488674
4.55	0.0	0.5555570233019602	0.03456708580912728
4.5600000000000005	0.0	0.5587785252292475	0.03272542485937361
4.57	0.0	0.5619093949309836	0.030836134096397586
4.58	0.0	0.5649448048330185	0.028910861626005757
4.59	0.0	0.5678800745532941	0.02696147739319616
4.6	0.0	0.5707106781186547	0.025000000000000074
4.61	0.0	0.5734322509435688	0.023038522606803828
4.62	0.0	0.5760405965600032	0.02108913837399421
4.63	0.0	0.5785316930880746	0.019163865903602383
4.64	0.0	0.5809016994374947	0.017274575140626382
4.65	0.0	0.5831469612302547	0.015432914190872688
4.66	0.0	0.5852640164354093	0.013650237506511315
4.67	0.0	0.5872496007072798	0.011937535882101292
4.68	0.0	0.5891006524188368	0.01030536869268823
4.69	0.0	0.5908143173825082	0.008763798791745353
4.7	0.0	0.5923879532511288	0.007322330470336283
4.71	0.0	0.5938191335922485	0.005989850859999238
4.72	0.0	0.5951056516295155	0.004774575140626344
4.73	0.0	0.5962455236453649	0.0036839958911476568
4.74	0.0	0.5972369920397678	0.002724836895290786
4.75	0.0	0.5980785280403231	0.0019030116872178371
4.76	0.0	0.5987688340595139	0.0012235870926211756
4.77	0.0	0.5993068456954926	0.0006907519900581056
4.78	0.0	0.5996917333733129	0.0003077914851215502
4.79	0.0	0.5999229036240724	7.70666566718009e-05
4.8	0.0	0.6000000000000001	0
4.81	0.0	0.6000000000000001	0
4.819999999999999	0.0	0.6000000000000001	0
4.83	0.0	0.6000000000000001	0
4.84	0.0	0.6000000000000001	0
4.85	0.0	0.6000000000000001	0
4.859999999999999	0.0	0.6000000000000001	0
4.87	0.0	0.6000000000000001	0
4.88	0.0	0.6000000000000001	0
4.89	0.0	0.6000000000000001	0
4.8999999999999995	0.0	0.6000000000000001	0
4.91	0.0	0.6000000000000001	0
4.92	0.0	0.6000000000000001	0
4.93	0.0	0.6000000000000001	0
4.9399999999999995	0.0	0.6000000000000001	0
4.95	0.0	0.6000000000000001	0
4.96	0.0	0.6000000000000001	0
4.97	0.0	0.6000000000000001	0
4.9799999999999995	0.0	0.6000000000000001	0
4.99	0.0	0.6000000000000001	0
5.0	0.0	0.6000000000000001	0
5.01	0.0	0.6000000000000001	0
5.02	0.0	0.6000000000000001	0
5.03	0.0	0.6000000000000001	0
5.04	0.0	0.6000000000000001	0
5.05	0.0	0.6000000000000001	0
5.06	0.0	0.6000000000000001	0
5.07	0.0	0.6000000000000001	0
5.08	0.0	0.6000000000000001	0
5.09	0.0	0.6000000000000001	0
5.1	0.0	0.6000000000000001	0
5.109999999999999	0.0	0.6000000000000001	0
5.12	0.0	0.6000000000000001	0
5.13	0.0	0.6000000000000001	0
5.14	0.0	0.6000000000000001	0
5.1499999999999995	0.0	0.6000000000000001	0
5.16	0.0	0.6000000000000001	0
5.17	0.0	0.6000000000000001	0
5.18	0.0	0.6000000000000001	0
5.1899999999999995	0.0	0.6000000000000001	0
5.2	0.0	0.6000000000000001	0
5.21	0.0	0.6000000000000001	0
5.22	0.0	0.6000000000000001	0
5.2299999999999995	0.0	0.6000000000000001	0
5.24	0.0	0.6000000000000001	0
5.25	0.0	0.6000000000000001	0
5.26	0.0	0.6000000000000001	0
5.27	0.0	0.6000000000000001	0
5.279999999999999	0.0	0.6000000000000001	0
5.29	0.0	0.6000000000000001	0
5.3	0.0	0.6000000000000001	0
5.31	0.0	0.6000000000000001	0
5.32	0.0	0.6000000000000001	0
5.33	0.0	0.6000000000000001	0
5.34	0.0	0.6000000000000001	0
5.35	0.0	0.6000000000000001	0
5.359999999999999	0.0	0.6000000000000001	0
5.37	0.0	0.6000000000000001	0
5.38	0.0	0.6000000000000001	0
5.39	0.0	0.6000000000000001	0
5.3999999999999995	0.0	0.6000000000000001	0
5.41	0.0	0.6000000000000001	0
5.42	0.0	0.6000000000000001	0
5.43	0.0	0.6000000000000001	0
5.4399999999999995	0.0	0.6000000000000001	0
5.45	0.0	0.6000000000000001	0
5.46	0.0	0.6000000000000001	0
5.47	0.0	0.6000000000000001	0
5.4799999999999995	0.0	0.6000000000000001	0
5.49	0.0	0.6000000000000001	0
5.5	0.0	0.6000000000000001	0
5.51	0.0	0.6000000000000001	0
5.52	0.0	0.6000000000000001	0
5.529999999999999	0.0	0.6000000000000001	0
5.54	0.0	0.6000000000000001	0
5.55	0.0	0.6000000000000001	0
5.56	0.0	0.6000000000000001	0
5.57	0.0	0.6000000000000001	0
5.58	0.0	0.6000000000000001	0
5.59	0.0	0.6000000000000001	0
5.6	0.0	0.6000000000000001	0.0
